"Object","Close-Approach (CA) Date","CA Distance Nominal (LD | au)","CA Distance Minimum (LD | au)","V relative (km/s)","V infinity (km/s)","H (mag)","Estimated Diameter",""
"(2019 FU1)","2019-Mar-26 08:26 ± < 00:01","2.01 | 0.00517","2.00 | 0.00513","19.98","19.96","27.4","8.8 m -   20 m","bK19F01U"
"(2019 FK1)","2019-Mar-26 16:48 ± < 00:01","8.25 | 0.02119","8.22 | 0.02113","9.15","9.14","25.2","24 m -   54 m","bK19F01K"
"(2019 EN)","2019-Mar-27 01:27 ± < 00:01","9.69 | 0.02489","9.69 | 0.02489","15.24","15.24","21.2","150 m -  340 m","bK19E00N"
"(2019 GJ)","2019-Mar-27 01:36 ± < 00:01","17.53 | 0.04505","17.52 | 0.04502","7.00","6.99","24.3","37 m -   82 m","bK19G00J"
"(1999 TT16)","2019-Mar-27 03:15 ± < 00:01","11.96 | 0.03074","11.96 | 0.03074","16.17","16.16","19.8","290 m -  650 m","bJ99T16T"
"(2019 GS2)","2019-Mar-27 16:57 ±    00:02","8.37 | 0.02152","8.32 | 0.02139","9.33","9.32","27.4","8.8 m -   20 m","bK19G02S"
"(2019 FA2)","2019-Mar-27 17:01 ± < 00:01","2.91 | 0.00747","2.89 | 0.00743","20.64","20.62","26.1","16 m -   36 m","bK19F02A"
"(2019 FC1)","2019-Mar-28 05:46 ± < 00:01","0.27 | 0.00069","0.27 | 0.00069","25.92","25.77","25.6","20 m -   45 m","bK19F01C"
"(2019 FX)","2019-Mar-28 16:55 ± < 00:01","5.39 | 0.01385","5.38 | 0.01383","5.02","4.98","25.8","18 m -   41 m","bK19F00X"
"(2019 FW)","2019-Mar-29 02:25 ± < 00:01","8.05 | 0.02068","8.03 | 0.02065","6.23","6.21","26.1","16 m -   36 m","bK19F00W"
"(2019 GX3)","2019-Mar-29 09:47 ±    00:02","4.59 | 0.01180","4.57 | 0.01174","4.60","4.55","27.4","8.8 m -   20 m","bK19G03X"
"(2019 FB2)","2019-Mar-29 21:01 ± < 00:01","2.14 | 0.00549","2.13 | 0.00547","11.70","11.66","26.5","13 m -   30 m","bK19F02B"
"(2019 GL)","2019-Mar-29 21:48 ± < 00:01","18.70 | 0.04804","18.67 | 0.04797","11.08","11.07","23.3","58 m -  130 m","bK19G00L"
"(2019 GR5)","2019-Mar-29 21:48 ±    00:06","10.51 | 0.02701","10.43 | 0.02680","4.56","4.53","27.0","11 m -   24 m","bK19G05R"
"(2019 GA)","2019-Mar-29 23:30 ± < 00:01","9.14 | 0.02349","9.13 | 0.02346","15.73","15.73","23.6","51 m -  110 m","bK19G00A"
"(2019 FQ2)","2019-Mar-30 02:02 ± < 00:01","11.67 | 0.02999","11.64 | 0.02990","6.52","6.50","27.2","9.7 m -   22 m","bK19F02Q"
"(2019 GD4)","2019-Mar-30 07:28 ± < 00:01","3.82 | 0.00981","3.81 | 0.00979","7.81","7.78","27.5","8.4 m -   19 m","bK19G04D"
"(2019 GB)","2019-Mar-30 08:58 ± < 00:01","2.32 | 0.00596","2.31 | 0.00594","20.04","20.02","26.9","11 m -   25 m","bK19G00B"
"(2019 FV1)","2019-Mar-31 05:27 ± < 00:01","0.87 | 0.00223","0.87 | 0.00223","18.28","18.21","28.9","4.4 m -  9.9 m","bK19F01V"
"(2019 FL1)","2019-Mar-31 06:06 ± < 00:01","2.84 | 0.00729","2.83 | 0.00727","12.51","12.48","26.9","11 m -   25 m","bK19F01L"
"(2019 GJ1)","2019-Mar-31 07:37 ± < 00:01","5.40 | 0.01388","5.37 | 0.01380","7.54","7.52","27.1","10 m -   23 m","bK19G01J"
"(2019 FB1)","2019-Mar-31 08:35 ± < 00:01","1.54 | 0.00395","1.54 | 0.00395","8.23","8.15","27.8","7.3 m -   16 m","bK19F01B"
"(2019 FZ1)","2019-Mar-31 13:40 ± < 00:01","11.30 | 0.02904","11.23 | 0.02885","24.29","24.29","25.6","20 m -   45 m","bK19F01Z"
"(2019 FF1)","2019-Mar-31 18:13 ±    00:06","18.67 | 0.04796","18.50 | 0.04754","8.44","8.44","25.5","21 m -   47 m","bK19F01F"
"(2019 GP21)","2019-Mar-31 19:00 ±    07:46","0.93 | 0.00238","0.73 | 0.00188","10.98","10.88","29.8","3.0 m -  6.6 m","bK19G21P"
"(2019 FQ1)","2019-Mar-31 19:10 ± < 00:01","9.17 | 0.02356","9.13 | 0.02346","9.27","9.25","27.2","9.7 m -   22 m","bK19F01Q"
"(2019 GE)","2019-Mar-31 21:51 ± < 00:01","2.87 | 0.00738","2.87 | 0.00737","10.73","10.70","26.6","13 m -   28 m","bK19G00E"
"(2019 GK3)","2019-Apr-01 04:04 ± < 00:01","2.67 | 0.00686","2.67 | 0.00685","3.27","3.14","29.5","3.3 m -  7.5 m","bK19G03K"
"(2019 FR2)","2019-Apr-01 04:32 ± < 00:01","2.13 | 0.00546","2.12 | 0.00546","8.25","8.19","27.6","8.0 m -   18 m","bK19F02R"
"(2019 TN)","2019-Apr-01 11:42 ±    00:03","5.46 | 0.01402","5.45 | 0.01399","11.02","11.00","22.0","110 m -  240 m","bK19T00N"
"(2019 FN1)","2019-Apr-02 01:34 ± < 00:01","8.45 | 0.02171","8.41 | 0.02162","8.96","8.95","27.1","10 m -   23 m","bK19F01N"
"(2019 GU19)","2019-Apr-02 06:47 ±    00:02","18.79 | 0.04827","18.59 | 0.04778","11.87","11.87","25.4","22 m -   49 m","bK19G19U"
"(2019 GE3)","2019-Apr-02 11:21 ± < 00:01","7.41 | 0.01904","7.39 | 0.01899","8.50","8.49","27.0","11 m -   24 m","bK19G03E"
"(2019 GL3)","2019-Apr-02 12:10 ± < 00:01","3.74 | 0.00960","3.73 | 0.00957","10.54","10.51","26.6","13 m -   28 m","bK19G03L"
"(2019 GZ5)","2019-Apr-02 12:40 ± < 00:01","13.57 | 0.03487","13.48 | 0.03464","8.48","8.47","26.1","16 m -   36 m","bK19G05Z"
"(2019 FT2)","2019-Apr-02 18:01 ± < 00:01","2.35 | 0.00604","2.34 | 0.00602","27.08","27.06","26.4","14 m -   31 m","bK19F02T"
"(2019 GW5)","2019-Apr-03 08:31 ± < 00:01","9.48 | 0.02437","9.44 | 0.02425","6.74","6.73","26.7","12 m -   27 m","bK19G05W"
"(2020 CD3)","2019-Apr-04 09:37 ±    07:38","0.03 | 8.71e-5","0.03 | 6.58e-5","7.80","NaN","31.7","1.2 m -  2.7 m","bK20C03D"
"(2019 GW1)","2019-Apr-04 09:43 ± < 00:01","3.36 | 0.00863","3.36 | 0.00862","7.19","7.14","26.1","16 m -   36 m","bK19G01W"
"(2019 GM1)","2019-Apr-04 10:56 ±    00:04","7.87 | 0.02021","7.81 | 0.02007","4.39","4.36","27.0","11 m -   24 m","bK19G01M"
"(2019 FW1)","2019-Apr-04 15:36 ±    00:02","16.69 | 0.04289","16.49 | 0.04238","8.30","8.29","26.5","13 m -   30 m","bK19F01W"
"(2019 GJ4)","2019-Apr-04 23:37 ± < 00:01","2.66 | 0.00684","2.66 | 0.00684","5.91","5.84","26.0","17 m -   38 m","bK19G04J"
"(2016 GE1)","2019-Apr-05 06:21 ± < 00:01","2.86 | 0.00734","2.86 | 0.00734","10.09","10.05","26.7","12 m -   27 m","bK16G01E"
"(2019 GU1)","2019-Apr-06 04:03 ± < 00:01","1.64 | 0.00421","1.63 | 0.00418","17.37","17.33","27.4","8.8 m -   20 m","bK19G01U"
"(2019 FV)","2019-Apr-06 13:33 ± < 00:01","14.94 | 0.03840","14.94 | 0.03840","7.71","7.70","24.0","42 m -   94 m","bK19F00V"
"(2019 GU5)","2019-Apr-06 16:34 ± < 00:01","6.10 | 0.01568","6.09 | 0.01566","4.76","4.72","27.6","8.0 m -   18 m","bK19G05U"
"(2019 GJ3)","2019-Apr-06 18:04 ± < 00:01","3.05 | 0.00784","3.05 | 0.00783","5.89","5.84","28.0","6.7 m -   15 m","bK19G03J"
"(2019 FY2)","2019-Apr-07 03:30 ±    00:20","19.40 | 0.04986","19.29 | 0.04956","3.92","3.91","27.4","8.8 m -   20 m","bK19F02Y"
"(2019 GT)","2019-Apr-07 12:36 ± < 00:01","3.48 | 0.00895","3.47 | 0.00891","15.59","15.57","26.6","13 m -   28 m","bK19G00T"
"(2019 GS)","2019-Apr-07 16:50 ± < 00:01","1.07 | 0.00275","1.07 | 0.00275","12.72","12.65","26.7","12 m -   27 m","bK19G00S"
"(2019 GM20)","2019-Apr-07 19:00 ± < 00:01","12.30 | 0.03160","12.26 | 0.03150","7.85","7.84","25.9","18 m -   39 m","bK19G20M"
"(2019 FS2)","2019-Apr-08 03:04 ± < 00:01","3.18 | 0.00817","3.18 | 0.00816","6.22","6.17","27.3","9.2 m -   21 m","bK19F02S"
"(2019 GR)","2019-Apr-08 10:46 ± < 00:01","11.34 | 0.02913","11.31 | 0.02907","5.70","5.69","25.7","19 m -   43 m","bK19G00R"
"(2019 GC)","2019-Apr-08 21:19 ± < 00:01","6.22 | 0.01597","6.19 | 0.01590","6.63","6.60","26.5","13 m -   30 m","bK19G00C"
"(2019 GQ19)","2019-Apr-08 21:48 ± < 00:01","10.77 | 0.02766","10.75 | 0.02762","9.27","9.26","24.4","35 m -   78 m","bK19G19Q"
"(2019 FU)","2019-Apr-09 10:34 ± < 00:01","5.31 | 0.01364","5.31 | 0.01364","14.19","14.18","23.2","61 m -  140 m","bK19F00U"
"(2014 UR)","2019-Apr-09 11:25 ± < 00:01","12.95 | 0.03329","12.95 | 0.03329","4.57","4.55","26.6","13 m -   28 m","bK14U00R"
"(2019 GS20)","2019-Apr-09 16:38 ± < 00:01","14.12 | 0.03629","14.08 | 0.03618","8.32","8.31","25.6","20 m -   45 m","bK19G20S"
"(2016 GW221)","2019-Apr-10 14:10 ± < 00:01","10.38 | 0.02668","10.38 | 0.02668","5.27","5.25","24.7","31 m -   68 m","bK16GM1W"
"(2019 GQ)","2019-Apr-10 21:09 ± < 00:01","5.17 | 0.01329","5.15 | 0.01323","8.45","8.42","26.6","13 m -   28 m","bK19G00Q"
"(2019 GT19)","2019-Apr-11 03:15 ± < 00:01","2.09 | 0.00538","2.09 | 0.00537","10.68","10.64","27.5","8.4 m -   19 m","bK19G19T"
"(2019 GP19)","2019-Apr-11 04:37 ± < 00:01","5.49 | 0.01410","5.48 | 0.01408","4.06","4.01","26.6","13 m -   28 m","bK19G19P"
"(2019 GS19)","2019-Apr-11 07:34 ± < 00:01","1.93 | 0.00497","1.93 | 0.00497","13.90","13.87","25.6","20 m -   45 m","bK19G19S"
"(2019 GK21)","2019-Apr-11 09:50 ± < 00:01","1.19 | 0.00305","1.18 | 0.00304","9.23","9.13","25.6","20 m -   45 m","bK19G21K"
"(2014 HD177)","2019-Apr-11 12:05 ± < 00:01","10.75 | 0.02763","10.75 | 0.02763","14.50","14.49","23.0","67 m -  150 m","bK14HH7D"
"(2019 GV5)","2019-Apr-11 15:53 ± < 00:01","1.70 | 0.00436","1.70 | 0.00436","3.90","3.74","29.4","3.5 m -  7.8 m","bK19G05V"
"(2019 GE1)","2019-Apr-11 21:03 ±    00:02","3.86 | 0.00992","3.85 | 0.00988","6.52","6.48","27.0","11 m -   24 m","bK19G01E"
"(2019 GH19)","2019-Apr-11 21:54 ± < 00:01","16.84 | 0.04326","16.78 | 0.04311","8.64","8.63","25.6","20 m -   45 m","bK19G19H"
"(2019 GY5)","2019-Apr-11 23:38 ± < 00:01","5.93 | 0.01522","5.89 | 0.01514","27.25","27.25","25.7","19 m -   43 m","bK19G05Y"
"(2019 GN20)","2019-Apr-12 07:06 ± < 00:01","0.98 | 0.00253","0.98 | 0.00252","14.81","14.74","26.5","13 m -   30 m","bK19G20N"
"(2019 GU20)","2019-Apr-12 07:45 ± < 00:01","6.18 | 0.01588","6.16 | 0.01582","16.77","16.76","25.4","22 m -   49 m","bK19G20U"
"(2019 FB3)","2019-Apr-12 07:58 ± < 00:01","11.83 | 0.03039","11.80 | 0.03032","14.17","14.17","24.5","33 m -   75 m","bK19F03B"
"(2019 GC4)","2019-Apr-12 08:11 ±    00:02","5.11 | 0.01313","5.05 | 0.01298","33.54","33.53","24.6","32 m -   71 m","bK19G04C"
"(2019 GL4)","2019-Apr-12 11:43 ± < 00:01","14.40 | 0.03701","14.40 | 0.03701","13.19","13.19","23.1","64 m -  140 m","bK19G04L"
"(2019 GQ1)","2019-Apr-12 13:11 ± < 00:01","13.39 | 0.03441","13.14 | 0.03377","12.67","12.66","24.8","29 m -   65 m","bK19G01Q"
"(2019 GN)","2019-Apr-13 02:08 ± < 00:01","1.72 | 0.00443","1.72 | 0.00442","11.88","11.83","27.1","10 m -   23 m","bK19G00N"
